loss,accuracy,val_loss,val_accuracy
2.46490216255188,0.3332567512989044,1.0211572647094727,0.6395882964134216
0.8825435042381287,0.722847580909729,0.38644707202911377,0.8841646909713745
0.45534026622772217,0.8616024851799011,0.25810903310775757,0.920981764793396
0.29293927550315857,0.9127038717269897,0.43785032629966736,0.8805225491523743
0.2061735987663269,0.9399392604827881,0.1777513474225998,0.9536817073822021
0.15556983649730682,0.9576026797294617,0.11701758950948715,0.9665083289146423
0.13761143386363983,0.960563600063324,0.1475428342819214,0.96421217918396
0.10300008207559586,0.9724583029747009,0.15903744101524353,0.9662708044052124
0.09059743583202362,0.9755213260650635,0.13312339782714844,0.9675375819206238
0.07997754216194153,0.9787630438804626,0.217026948928833,0.9539983868598938
